iter	Passed	Remaining
0	169	169064
1	171	85337
2	172	57394
3	174	43468
4	176	35096
5	178	29530
6	179	25517
7	181	22521
8	183	20212
9	185	18363
10	187	16843
11	188	15529
12	189	14419
13	191	13467
14	192	12650
15	193	11913
16	194	11255
17	195	10668
18	196	10132
19	196	9648
20	197	9211
21	198	8813
22	198	8452
23	199	8122
24	200	7814
25	200	7525
26	201	7264
27	202	7016
28	202	6784
29	203	6568
30	203	6366
31	204	6177
32	204	6000
33	205	5832
34	205	5675
35	206	5527
36	207	5389
37	207	5255
38	208	5128
39	208	5007
40	209	4892
41	209	4782
42	210	4678
43	210	4578
44	211	4483
45	211	4392
46	212	4306
47	212	4222
48	213	4142
49	213	4065
50	214	3991
51	215	3921
52	215	3852
53	216	3786
54	216	3722
55	217	3661
56	217	3601
57	218	3544
58	218	3488
59	219	3434
60	219	3382
61	220	3332
62	220	3283
63	221	3237
64	222	3196
65	222	3152
66	223	3109
67	223	3068
68	224	3027
69	224	2988
70	225	2951
71	226	2914
72	226	2878
73	227	2842
74	227	2808
75	228	2774
76	228	2742
77	229	2709
78	229	2679
79	230	2648
80	230	2619
81	231	2590
82	231	2559
83	232	2531
84	232	2504
85	233	2478
86	233	2452
87	234	2427
88	234	2402
89	235	2378
90	235	2355
91	236	2332
92	236	2310
93	237	2290
94	238	2269
95	238	2249
96	239	2228
97	239	2208
98	240	2187
99	240	2168
100	241	2149
101	241	2130
102	242	2111
103	243	2093
104	243	2075
105	244	2058
106	244	2041
107	245	2024
108	245	2007
109	246	1991
110	246	1975
111	247	1959
112	247	1944
113	248	1928
114	248	1913
115	249	1899
116	249	1884
117	250	1870
118	250	1856
119	251	1842
120	252	1830
121	252	1817
122	253	1804
123	253	1792
124	254	1780
125	254	1768
126	255	1755
127	255	1743
128	256	1731
129	257	1720
130	257	1708
131	258	1699
132	259	1693
133	260	1684
134	261	1675
135	262	1666
136	263	1657
137	264	1649
138	264	1639
139	265	1632
140	266	1626
141	267	1616
142	268	1608
143	269	1604
144	270	1597
145	271	1589
146	272	1582
147	273	1575
148	274	1567
149	275	1559
150	275	1550
151	276	1542
152	277	1534
153	278	1528
154	278	1520
155	279	1512
156	280	1505
157	280	1497
158	281	1490
159	282	1483
160	282	1474
161	283	1466
162	284	1459
163	284	1451
164	285	1444
165	286	1437
166	286	1429
167	287	1422
168	287	1415
169	288	1408
170	289	1401
171	289	1394
172	290	1388
173	290	1381
174	291	1374
175	292	1367
176	292	1360
177	293	1353
178	293	1347
179	294	1340
180	294	1334
181	295	1327
182	295	1321
183	296	1315
184	297	1309
185	297	1303
186	298	1297
187	299	1291
188	299	1285
189	300	1280
190	300	1274
191	301	1268
192	302	1263
193	302	1258
194	303	1253
195	304	1248
196	304	1243
197	305	1237
198	306	1232
199	306	1227
200	307	1223
201	308	1218
202	309	1214
203	310	1210
204	310	1205
205	311	1201
206	312	1197
207	313	1192
208	313	1187
209	314	1183
210	315	1177
211	315	1173
212	316	1168
213	316	1163
214	317	1158
215	317	1153
216	318	1148
217	318	1143
218	319	1139
219	319	1134
220	320	1129
221	321	1125
222	322	1122
223	322	1118
224	323	1114
225	324	1109
226	324	1105
227	325	1101
228	326	1097
229	326	1094
230	327	1090
231	328	1087
232	329	1084
233	330	1081
234	331	1077
235	331	1073
236	332	1070
237	333	1066
238	333	1062
239	334	1058
240	334	1054
241	335	1050
242	336	1047
243	337	1044
244	337	1040
245	338	1036
246	338	1033
247	339	1029
248	339	1025
249	340	1021
250	341	1017
251	341	1014
252	342	1011
253	343	1008
254	344	1006
255	345	1003
256	345	1000
257	346	996
258	347	993
259	347	989
260	348	986
261	348	982
262	349	979
263	350	975
264	350	972
265	351	969
266	351	965
267	352	962
268	353	959
269	353	956
270	354	952
271	354	949
272	355	946
273	355	942
274	356	939
275	357	936
276	357	934
277	358	931
278	359	928
279	360	925
280	360	922
281	361	919
282	361	916
283	362	913
284	362	910
285	363	907
286	364	904
287	364	901
288	365	898
289	365	895
290	366	892
291	366	889
292	367	886
293	367	883
294	368	880
295	369	877
296	369	874
297	370	871
298	370	868
299	371	865
300	371	863
301	372	861
302	373	859
303	374	857
304	375	856
305	376	854
306	377	852
307	378	849
308	378	847
309	379	844
310	380	842
311	380	839
312	381	836
313	381	834
314	382	831
315	383	829
316	383	826
317	384	823
318	384	821
319	385	818
320	385	815
321	386	813
322	386	811
323	388	809
324	388	807
325	389	805
326	390	803
327	391	801
328	391	798
329	392	796
330	392	793
331	393	791
332	394	789
333	394	786
334	395	784
335	395	782
336	396	779
337	396	777
338	397	774
339	397	772
340	398	770
341	399	767
342	399	765
343	400	763
344	400	761
345	401	758
346	402	756
347	402	754
348	403	752
349	404	750
350	404	748
351	405	746
352	405	744
353	406	741
354	407	739
355	407	737
356	408	735
357	408	732
358	409	730
359	409	728
360	410	726
361	410	724
362	411	722
363	412	720
364	412	717
365	413	715
366	413	713
